id,Predicción
159693,No Fumador
159694,No Fumador
159695,No Fumador
159696,No Fumador
159697,No Fumador
159698,No Fumador
159699,No Fumador
159700,No Fumador
159701,Fumador
159702,No Fumador
159703,No Fumador
159704,No Fumador
159705,No Fumador
159706,No Fumador
159707,No Fumador
159708,Fumador
159709,Fumador
159710,Fumador
159711,No Fumador
159712,No Fumador
159713,No Fumador
159714,No Fumador
159715,No Fumador
159716,Fumador
159717,No Fumador
159718,No Fumador
159719,No Fumador
159720,Fumador
159721,Fumador
159722,No Fumador
159723,No Fumador
159724,No Fumador
159725,Fumador
159726,No Fumador
159727,No Fumador
159728,No Fumador
159729,No Fumador
159730,No Fumador
159731,Fumador
159732,No Fumador
159733,No Fumador
159734,No Fumador
159735,No Fumador
159736,Fumador
159737,Fumador
159738,No Fumador
159739,No Fumador
159740,No Fumador
159741,No Fumador
159742,No Fumador
159743,Fumador
159744,Fumador
159745,No Fumador
159746,No Fumador
159747,No Fumador
159748,No Fumador
159749,No Fumador
159750,Fumador
159751,No Fumador
159752,No Fumador
159753,No Fumador
159754,Fumador
159755,No Fumador
159756,No Fumador
159757,No Fumador
159758,Fumador
159759,No Fumador
159760,Fumador
159761,No Fumador
159762,No Fumador
159763,No Fumador
159764,No Fumador
159765,No Fumador
159766,Fumador
159767,No Fumador
159768,Fumador
159769,No Fumador
159770,Fumador
159771,No Fumador
159772,No Fumador
159773,No Fumador
159774,No Fumador
159775,No Fumador
159776,No Fumador
159777,Fumador
159778,No Fumador
159779,Fumador
159780,No Fumador
159781,No Fumador
159782,No Fumador
159783,No Fumador
159784,No Fumador
159785,No Fumador
159786,Fumador
159787,No Fumador
159788,No Fumador
159789,No Fumador
159790,No Fumador
159791,Fumador
159792,No Fumador
159793,No Fumador
159794,No Fumador
159795,No Fumador
159796,Fumador
159797,Fumador
159798,Fumador
159799,No Fumador
159800,No Fumador
159801,No Fumador
159802,Fumador
159803,Fumador
159804,No Fumador
159805,No Fumador
159806,Fumador
159807,Fumador
159808,No Fumador
159809,No Fumador
159810,No Fumador
159811,No Fumador
159812,No Fumador
159813,No Fumador
159814,No Fumador
159815,Fumador
159816,Fumador
159817,No Fumador
159818,No Fumador
159819,Fumador
159820,No Fumador
159821,No Fumador
159822,Fumador
159823,No Fumador
159824,Fumador
159825,Fumador
159826,No Fumador
159827,No Fumador
159828,No Fumador
159829,No Fumador
159830,No Fumador
159831,No Fumador
159832,No Fumador
159833,No Fumador
159834,No Fumador
159835,Fumador
159836,No Fumador
159837,No Fumador
159838,No Fumador
159839,No Fumador
159840,Fumador
159841,Fumador
159842,Fumador
159843,Fumador
159844,No Fumador
159845,No Fumador
159846,Fumador
159847,No Fumador
159848,No Fumador
159849,Fumador
159850,No Fumador
159851,No Fumador
159852,No Fumador
159853,No Fumador
159854,Fumador
159855,No Fumador
159856,No Fumador
159857,No Fumador
159858,Fumador
159859,No Fumador
159860,Fumador
159861,No Fumador
159862,No Fumador
159863,Fumador
159864,No Fumador
159865,No Fumador
159866,Fumador
159867,No Fumador
159868,Fumador
159869,Fumador
159870,Fumador
159871,No Fumador
159872,No Fumador
159873,Fumador
159874,No Fumador
159875,No Fumador
159876,No Fumador
159877,No Fumador
159878,No Fumador
159879,Fumador
159880,No Fumador
159881,No Fumador
159882,Fumador
159883,Fumador
159884,Fumador
159885,No Fumador
159886,No Fumador
159887,No Fumador
159888,No Fumador
159889,Fumador
159890,Fumador
159891,Fumador
159892,No Fumador
159893,No Fumador
159894,Fumador
159895,Fumador
159896,No Fumador
159897,No Fumador
159898,Fumador
159899,Fumador
159900,No Fumador
159901,Fumador
159902,No Fumador
159903,No Fumador
159904,No Fumador
159905,No Fumador
159906,Fumador
159907,Fumador
159908,Fumador
159909,No Fumador
159910,No Fumador
159911,No Fumador
159912,Fumador
159913,No Fumador
159914,No Fumador
159915,No Fumador
159916,No Fumador
159917,No Fumador
159918,No Fumador
159919,No Fumador
159920,No Fumador
159921,Fumador
159922,No Fumador
159923,No Fumador
159924,No Fumador
159925,No Fumador
159926,Fumador
159927,Fumador
159928,No Fumador
159929,Fumador
159930,No Fumador
159931,No Fumador
159932,No Fumador
159933,No Fumador
159934,No Fumador
159935,No Fumador
159936,Fumador
159937,No Fumador
159938,No Fumador
159939,Fumador
159940,No Fumador
159941,No Fumador
159942,No Fumador
159943,No Fumador
159944,No Fumador
159945,Fumador
159946,Fumador
159947,No Fumador
159948,No Fumador
159949,Fumador
159950,Fumador
159951,No Fumador
159952,Fumador
159953,No Fumador
159954,Fumador
159955,No Fumador
159956,Fumador
159957,Fumador
159958,No Fumador
159959,No Fumador
159960,Fumador
159961,Fumador
159962,No Fumador
159963,Fumador
159964,No Fumador
159965,No Fumador
159966,Fumador
159967,Fumador
159968,No Fumador
159969,Fumador
159970,No Fumador
159971,No Fumador
159972,No Fumador
159973,No Fumador
159974,No Fumador
159975,No Fumador
159976,Fumador
159977,Fumador
159978,No Fumador
159979,Fumador
159980,Fumador
159981,Fumador
159982,Fumador
159983,Fumador
159984,No Fumador
159985,Fumador
159986,Fumador
159987,No Fumador
159988,Fumador
159989,Fumador
159990,No Fumador
159991,No Fumador
159992,No Fumador
159993,No Fumador
159994,No Fumador
159995,No Fumador
159996,No Fumador
159997,Fumador
159998,No Fumador
159999,Fumador
160000,Fumador
160001,No Fumador
160002,No Fumador
160003,No Fumador
160004,No Fumador
160005,No Fumador
160006,No Fumador
160007,Fumador
160008,No Fumador
160009,Fumador
160010,Fumador
160011,No Fumador
160012,No Fumador
160013,Fumador
160014,No Fumador
160015,No Fumador
160016,Fumador
160017,No Fumador
160018,Fumador
160019,No Fumador
160020,No Fumador
160021,No Fumador
160022,Fumador
160023,No Fumador
160024,No Fumador
160025,No Fumador
160026,No Fumador
160027,Fumador
160028,No Fumador
160029,Fumador
160030,No Fumador
160031,Fumador
160032,No Fumador
160033,No Fumador
160034,Fumador
160035,No Fumador
160036,No Fumador
160037,No Fumador
160038,No Fumador
160039,No Fumador
160040,No Fumador
160041,No Fumador
160042,No Fumador
160043,No Fumador
160044,No Fumador
160045,No Fumador
160046,No Fumador
160047,Fumador
160048,Fumador
160049,No Fumador
160050,Fumador
160051,Fumador
160052,Fumador
160053,No Fumador
160054,No Fumador
160055,No Fumador
160056,No Fumador
160057,No Fumador
160058,No Fumador
160059,Fumador
160060,No Fumador
160061,No Fumador
160062,Fumador
160063,No Fumador
160064,No Fumador
160065,No Fumador
160066,No Fumador
160067,No Fumador
160068,Fumador
160069,Fumador
160070,No Fumador
160071,No Fumador
160072,No Fumador
160073,No Fumador
160074,Fumador
160075,Fumador
160076,No Fumador
160077,No Fumador
160078,Fumador
160079,No Fumador
160080,No Fumador
160081,No Fumador
160082,No Fumador
160083,No Fumador
160084,No Fumador
160085,No Fumador
160086,No Fumador
160087,No Fumador
160088,No Fumador
160089,Fumador
160090,Fumador
160091,Fumador
160092,Fumador
160093,Fumador
160094,No Fumador
160095,Fumador
160096,No Fumador
160097,No Fumador
160098,Fumador
160099,No Fumador
160100,Fumador
160101,No Fumador
160102,Fumador
160103,No Fumador
160104,No Fumador
160105,No Fumador
160106,No Fumador
160107,No Fumador
160108,Fumador
160109,Fumador
160110,Fumador
160111,No Fumador
160112,No Fumador
160113,No Fumador
160114,Fumador
160115,No Fumador
160116,No Fumador
160117,Fumador
160118,No Fumador
160119,No Fumador
160120,No Fumador
160121,Fumador
160122,No Fumador
160123,No Fumador
160124,Fumador
160125,Fumador
160126,Fumador
160127,No Fumador
160128,No Fumador
160129,Fumador
160130,Fumador
160131,No Fumador
160132,No Fumador
160133,Fumador
160134,Fumador
160135,No Fumador
160136,No Fumador
160137,Fumador
160138,Fumador
160139,Fumador
160140,No Fumador
160141,No Fumador
160142,No Fumador
160143,No Fumador
160144,No Fumador
160145,No Fumador
160146,No Fumador
160147,Fumador
160148,No Fumador
160149,No Fumador
160150,No Fumador
160151,No Fumador
160152,No Fumador
160153,No Fumador
160154,Fumador
160155,No Fumador
160156,Fumador
160157,No Fumador
160158,No Fumador
160159,No Fumador
160160,No Fumador
160161,Fumador
160162,No Fumador
160163,Fumador
160164,Fumador
160165,Fumador
160166,Fumador
160167,Fumador
160168,No Fumador
160169,No Fumador
160170,Fumador
160171,No Fumador
160172,No Fumador
160173,Fumador
160174,Fumador
160175,No Fumador
160176,No Fumador
160177,No Fumador
160178,No Fumador
160179,No Fumador
160180,Fumador
160181,No Fumador
160182,Fumador
160183,No Fumador
160184,Fumador
160185,No Fumador
160186,No Fumador
160187,No Fumador
160188,Fumador
160189,Fumador
160190,No Fumador
160191,Fumador
160192,Fumador
160193,No Fumador
160194,No Fumador
160195,No Fumador
160196,No Fumador
160197,Fumador
160198,No Fumador
160199,No Fumador
160200,No Fumador
160201,No Fumador
160202,Fumador
160203,Fumador
160204,No Fumador
160205,Fumador
160206,Fumador
160207,No Fumador
160208,No Fumador
160209,Fumador
160210,No Fumador
160211,No Fumador
160212,No Fumador
160213,Fumador
160214,No Fumador
160215,No Fumador
160216,No Fumador
160217,Fumador
160218,No Fumador
160219,Fumador
160220,Fumador
160221,Fumador
160222,No Fumador
160223,No Fumador
160224,Fumador
160225,No Fumador
160226,No Fumador
160227,No Fumador
160228,Fumador
160229,Fumador
160230,Fumador
160231,No Fumador
160232,Fumador
160233,No Fumador
160234,No Fumador
160235,Fumador
160236,Fumador
160237,Fumador
160238,No Fumador
160239,No Fumador
160240,Fumador
160241,No Fumador
160242,Fumador
160243,No Fumador
160244,No Fumador
160245,Fumador
160246,Fumador
160247,No Fumador
160248,No Fumador
160249,Fumador
160250,Fumador
160251,Fumador
160252,No Fumador
160253,No Fumador
160254,Fumador
160255,No Fumador
160256,No Fumador
160257,Fumador
160258,No Fumador
160259,Fumador
160260,Fumador
160261,No Fumador
160262,No Fumador
160263,No Fumador
160264,Fumador
160265,No Fumador
160266,Fumador
160267,No Fumador
160268,No Fumador
160269,No Fumador
160270,No Fumador
160271,No Fumador
160272,Fumador
160273,No Fumador
160274,No Fumador
160275,No Fumador
160276,Fumador
160277,No Fumador
160278,No Fumador
160279,Fumador
160280,No Fumador
160281,Fumador
160282,Fumador
160283,No Fumador
160284,No Fumador
160285,Fumador
160286,Fumador
160287,No Fumador
160288,No Fumador
160289,No Fumador
160290,Fumador
160291,No Fumador
160292,No Fumador
160293,Fumador
160294,No Fumador
160295,Fumador
160296,Fumador
160297,Fumador
160298,No Fumador
160299,No Fumador
160300,No Fumador
160301,No Fumador
160302,No Fumador
160303,Fumador
160304,Fumador
160305,Fumador
160306,Fumador
160307,No Fumador
160308,No Fumador
160309,No Fumador
160310,No Fumador
160311,Fumador
160312,No Fumador
160313,No Fumador
160314,Fumador
160315,Fumador
160316,Fumador
160317,Fumador
160318,Fumador
160319,No Fumador
160320,No Fumador
160321,Fumador
160322,Fumador
160323,No Fumador
160324,Fumador
160325,Fumador
160326,Fumador
160327,No Fumador
160328,No Fumador
160329,Fumador
160330,No Fumador
160331,Fumador
160332,Fumador
160333,No Fumador
160334,Fumador
160335,No Fumador
160336,Fumador
160337,Fumador
160338,No Fumador
160339,No Fumador
160340,Fumador
160341,No Fumador
160342,No Fumador
160343,Fumador
160344,Fumador
160345,No Fumador
160346,No Fumador
160347,Fumador
160348,Fumador
160349,No Fumador
160350,Fumador
160351,Fumador
160352,No Fumador
160353,No Fumador
160354,No Fumador
160355,No Fumador
160356,No Fumador
160357,No Fumador
160358,No Fumador
160359,No Fumador
160360,No Fumador
160361,No Fumador
160362,No Fumador
160363,No Fumador
160364,No Fumador
160365,No Fumador
160366,No Fumador
160367,Fumador
160368,No Fumador
160369,No Fumador
160370,Fumador
160371,No Fumador
160372,No Fumador
160373,No Fumador
160374,Fumador
160375,No Fumador
160376,Fumador
160377,No Fumador
160378,Fumador
160379,Fumador
160380,No Fumador
160381,Fumador
160382,Fumador
160383,No Fumador
160384,No Fumador
160385,No Fumador
160386,No Fumador
160387,No Fumador
160388,No Fumador
160389,Fumador
160390,Fumador
160391,No Fumador
160392,Fumador
160393,No Fumador
160394,No Fumador
160395,Fumador
160396,Fumador
160397,No Fumador
160398,Fumador
160399,No Fumador
160400,Fumador
160401,No Fumador
160402,Fumador
160403,No Fumador
160404,Fumador
160405,No Fumador
160406,Fumador
160407,No Fumador
160408,Fumador
160409,No Fumador
160410,No Fumador
160411,Fumador
160412,No Fumador
160413,No Fumador
160414,No Fumador
160415,No Fumador
160416,No Fumador
160417,No Fumador
160418,No Fumador
160419,No Fumador
160420,No Fumador
160421,No Fumador
160422,No Fumador
160423,No Fumador
160424,Fumador
160425,No Fumador
160426,No Fumador
160427,No Fumador
160428,Fumador
160429,Fumador
160430,Fumador
160431,Fumador
160432,No Fumador
160433,No Fumador
160434,No Fumador
160435,Fumador
160436,No Fumador
160437,No Fumador
160438,Fumador
160439,No Fumador
160440,No Fumador
160441,No Fumador
160442,Fumador
160443,Fumador
160444,No Fumador
160445,Fumador
160446,Fumador
160447,Fumador
160448,Fumador
160449,No Fumador
160450,No Fumador
160451,Fumador
160452,Fumador
160453,No Fumador
160454,No Fumador
160455,No Fumador
160456,Fumador
160457,Fumador
160458,No Fumador
160459,Fumador
160460,No Fumador
160461,No Fumador
160462,Fumador
160463,No Fumador
160464,Fumador
160465,No Fumador
160466,No Fumador
160467,No Fumador
160468,Fumador
160469,Fumador
160470,Fumador
160471,Fumador
160472,No Fumador
160473,Fumador
160474,Fumador
160475,No Fumador
160476,No Fumador
160477,No Fumador
160478,Fumador
160479,Fumador
160480,Fumador
160481,No Fumador
160482,No Fumador
160483,No Fumador
160484,No Fumador
160485,No Fumador
160486,No Fumador
160487,No Fumador
160488,No Fumador
160489,Fumador
160490,No Fumador
160491,Fumador
160492,Fumador
160493,No Fumador
160494,No Fumador
160495,No Fumador
160496,Fumador
160497,No Fumador
160498,No Fumador
160499,Fumador
160500,Fumador
160501,No Fumador
160502,No Fumador
160503,Fumador
160504,No Fumador
160505,Fumador
160506,Fumador
160507,Fumador
160508,Fumador
160509,Fumador
160510,No Fumador
160511,Fumador
160512,No Fumador
160513,No Fumador
160514,No Fumador
160515,Fumador
160516,No Fumador
160517,Fumador
160518,No Fumador
160519,Fumador
160520,No Fumador
160521,No Fumador
160522,No Fumador
160523,No Fumador
160524,Fumador
160525,No Fumador
160526,No Fumador
160527,Fumador
160528,No Fumador
160529,No Fumador
160530,No Fumador
160531,No Fumador
160532,No Fumador
160533,Fumador
160534,No Fumador
160535,Fumador
160536,No Fumador
160537,No Fumador
160538,Fumador
160539,No Fumador
160540,Fumador
160541,No Fumador
160542,Fumador
160543,No Fumador
160544,Fumador
160545,No Fumador
160546,Fumador
160547,No Fumador
160548,No Fumador
160549,No Fumador
160550,No Fumador
160551,Fumador
160552,No Fumador
160553,No Fumador
160554,No Fumador
160555,No Fumador
160556,No Fumador
160557,No Fumador
160558,No Fumador
160559,Fumador
160560,No Fumador
160561,Fumador
160562,No Fumador
160563,No Fumador
160564,Fumador
160565,Fumador
160566,No Fumador
160567,No Fumador
160568,Fumador
160569,No Fumador
160570,Fumador
160571,Fumador
160572,No Fumador
160573,No Fumador
160574,Fumador
160575,No Fumador
160576,No Fumador
160577,No Fumador
160578,Fumador
160579,Fumador
160580,No Fumador
160581,No Fumador
160582,No Fumador
160583,Fumador
160584,No Fumador
160585,Fumador
160586,Fumador
160587,Fumador
160588,No Fumador
160589,No Fumador
160590,No Fumador
160591,No Fumador
160592,No Fumador
160593,Fumador
160594,Fumador
160595,No Fumador
160596,No Fumador
160597,No Fumador
160598,No Fumador
160599,No Fumador
160600,No Fumador
160601,No Fumador
160602,Fumador
160603,No Fumador
160604,No Fumador
160605,No Fumador
160606,No Fumador
160607,No Fumador
160608,No Fumador
160609,Fumador
160610,No Fumador
160611,Fumador
160612,Fumador
160613,No Fumador
160614,Fumador
160615,Fumador
160616,No Fumador
160617,No Fumador
160618,No Fumador
160619,No Fumador
160620,Fumador
160621,No Fumador
160622,No Fumador
160623,No Fumador
160624,No Fumador
160625,No Fumador
160626,No Fumador
160627,No Fumador
160628,Fumador
160629,No Fumador
160630,No Fumador
160631,No Fumador
160632,Fumador
160633,No Fumador
160634,No Fumador
160635,No Fumador
160636,Fumador
160637,No Fumador
160638,Fumador
160639,No Fumador
160640,Fumador
160641,No Fumador
160642,Fumador
160643,Fumador
160644,No Fumador
160645,No Fumador
160646,No Fumador
160647,No Fumador
160648,No Fumador
160649,No Fumador
160650,No Fumador
160651,No Fumador
160652,Fumador
160653,No Fumador
160654,No Fumador
160655,Fumador
160656,Fumador
160657,No Fumador
160658,Fumador
160659,No Fumador
160660,Fumador
160661,No Fumador
160662,Fumador
160663,No Fumador
160664,No Fumador
160665,Fumador
160666,No Fumador
160667,No Fumador
160668,No Fumador
160669,No Fumador
160670,Fumador
160671,No Fumador
160672,Fumador
160673,No Fumador
160674,Fumador
160675,No Fumador
160676,No Fumador
160677,No Fumador
160678,Fumador
160679,Fumador
160680,No Fumador
160681,No Fumador
160682,No Fumador
160683,Fumador
160684,Fumador
160685,No Fumador
160686,No Fumador
160687,Fumador
160688,No Fumador
160689,Fumador
160690,Fumador
160691,Fumador
160692,No Fumador
160693,No Fumador
160694,No Fumador
160695,No Fumador
160696,No Fumador
160697,Fumador
160698,No Fumador
160699,Fumador
160700,Fumador
160701,No Fumador
160702,No Fumador
160703,No Fumador
160704,No Fumador
160705,No Fumador
160706,No Fumador
160707,No Fumador
160708,No Fumador
160709,No Fumador
160710,Fumador
160711,Fumador
160712,No Fumador
160713,No Fumador
160714,No Fumador
160715,No Fumador
160716,No Fumador
160717,Fumador
160718,Fumador
160719,No Fumador
160720,Fumador
160721,No Fumador
160722,No Fumador
160723,Fumador
160724,No Fumador
160725,Fumador
160726,Fumador
160727,Fumador
160728,No Fumador
160729,No Fumador
160730,Fumador
160731,Fumador
160732,No Fumador
160733,No Fumador
160734,No Fumador
160735,No Fumador
160736,Fumador
160737,No Fumador
160738,Fumador
160739,No Fumador
160740,No Fumador
160741,Fumador
160742,No Fumador
160743,No Fumador
160744,No Fumador
160745,No Fumador
160746,No Fumador
160747,No Fumador
160748,No Fumador
160749,Fumador
160750,No Fumador
160751,Fumador
160752,No Fumador
160753,No Fumador
160754,No Fumador
160755,No Fumador
160756,No Fumador
160757,Fumador
160758,No Fumador
160759,No Fumador
160760,No Fumador
160761,No Fumador
160762,No Fumador
160763,No Fumador
160764,No Fumador
160765,Fumador
160766,No Fumador
160767,Fumador
160768,Fumador
160769,No Fumador
160770,Fumador
160771,No Fumador
160772,No Fumador
160773,Fumador
160774,Fumador
160775,No Fumador
160776,Fumador
160777,No Fumador
160778,No Fumador
160779,Fumador
160780,No Fumador
160781,Fumador
160782,Fumador
160783,No Fumador
160784,No Fumador
160785,No Fumador
160786,Fumador
160787,Fumador
160788,No Fumador
160789,Fumador
160790,Fumador
160791,No Fumador
160792,No Fumador
160793,No Fumador
160794,Fumador
160795,No Fumador
160796,Fumador
160797,No Fumador
160798,No Fumador
160799,No Fumador
160800,No Fumador
160801,No Fumador
160802,No Fumador
160803,Fumador
160804,Fumador
160805,Fumador
160806,No Fumador
160807,Fumador
160808,No Fumador
160809,Fumador
160810,Fumador
160811,No Fumador
160812,Fumador
160813,Fumador
160814,No Fumador
160815,No Fumador
160816,No Fumador
160817,Fumador
160818,Fumador
160819,No Fumador
160820,No Fumador
160821,No Fumador
160822,Fumador
160823,Fumador
160824,No Fumador
160825,Fumador
160826,No Fumador
160827,No Fumador
160828,Fumador
160829,Fumador
160830,No Fumador
160831,No Fumador
160832,Fumador
160833,No Fumador
160834,No Fumador
160835,No Fumador
160836,Fumador
160837,No Fumador
160838,No Fumador
160839,No Fumador
160840,No Fumador
160841,Fumador
160842,Fumador
160843,No Fumador
160844,No Fumador
160845,No Fumador
160846,No Fumador
160847,No Fumador
160848,Fumador
160849,No Fumador
160850,Fumador
160851,No Fumador
160852,No Fumador
160853,Fumador
160854,Fumador
160855,Fumador
160856,Fumador
160857,No Fumador
160858,No Fumador
160859,No Fumador
160860,No Fumador
160861,Fumador
160862,No Fumador
160863,No Fumador
160864,No Fumador
160865,No Fumador
160866,Fumador
160867,No Fumador
160868,Fumador
160869,No Fumador
160870,Fumador
160871,No Fumador
160872,No Fumador
160873,Fumador
160874,No Fumador
